Designator,Mid X,Mid Y,Rotation,Layer
C1,161.0,-89.975,90.0,top
C2,134.0,-90.175,270.0,top
C3,162.5,-90.0,90.0,top
J1,129.6,-71.45,180.0,top
J2,147.25,-85.875,90.0,top
J3,165.9,-82.63,0.0,top
J4,165.9,-71.43,0.0,top
J6,129.6,-82.65,180.0,top
R1,153.0,-79.0,0.0,top
R10,142.49,-87.0,180.0,top
R11,152.98,-87.0,0.0,top
R12,153.0,-86.0,0.0,top
R13,153.0,-85.0,0.0,top
R14,153.0,-84.0,0.0,top
R15,152.99,-83.0,0.0,top
R16,153.0,-81.99,0.0,top
R17,153.0,-81.0,0.0,top
R18,153.0,-80.0,0.0,top
R19,142.8,-67.75,90.0,top
R2,153.0,-78.0,0.0,top
R20,141.8,-67.75,90.0,top
R21,140.81,-67.75,90.0,top
R22,139.81,-67.75,90.0,top
R25,157.25,-90.0,90.0,top
R26,159.25,-90.0,90.0,top
R27,136.0,-90.175,90.0,top
R28,138.0,-90.0875,90.0,top
R29,152.99,-68.75,0.0,top
R3,142.49,-80.0,180.0,top
R30,152.99,-67.75,0.0,top
R31,142.25,-69.5,180.0,top
R32,142.24,-70.5,180.0,top
R33,142.5,-71.5,180.0,top
R34,142.5,-72.5,180.0,top
R35,142.5,-73.5,180.0,top
R36,142.49,-74.5,180.0,top
R37,142.49,-75.47,180.0,top
R38,142.5,-76.5,180.0,top
R39,153.0,-76.75,0.0,top
R4,142.49,-81.0,180.0,top
R40,153.01,-75.74,0.0,top
R41,153.01,-74.75,0.0,top
R42,153.01,-73.75,0.0,top
R43,153.0,-72.75,0.0,top
R44,153.0,-71.75,0.0,top
R45,152.99,-70.75,0.0,top
R46,153.0,-69.75,0.0,top
R47,154.75,-67.74,90.0,top
R48,155.75,-67.75,90.0,top
R49,156.75,-67.75,90.0,top
R5,142.49,-82.0,180.0,top
R50,157.75,-67.75,90.0,top
R6,142.49,-83.0,180.0,top
R7,142.49,-84.0,180.0,top
R8,142.49,-85.0,180.0,top
R9,142.49,-86.0,180.0,top
U1,147.6,-82.525,270.0,top
U10,155.7,-71.0,180.0,top
U2,147.6,-72.04,270.0,top
U3,139.8,-81.5,0.0,top
U4,139.8,-85.75,0.0,top
U5,155.7,-85.25,180.0,top
U6,155.7,-81.25,180.0,top
U7,139.75,-71.0,0.0,top
U8,139.8,-75.0,0.0,top
U9,155.7,-75.0,180.0,top
