Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C8",0402,4,10u,
C2,0805,1,47u,
"C5, C7",0402,2,0.1u,
C6,0402,1,2.2u,
J1,JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,1,Conn_01x05_Pin,
"J3, J6",PinHeader_1x08_P2.54mm_Vertical,2,Conn_02x04_Top_Bottom,
"R1, R19, R2, R20, R21, R22",0402,6,10kΩ,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R3, R4, R5, R6, R7, R8, R9",0402,16,220Ω,
"R25, R26",0805,2,4.7kΩ,
U1,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCA9685,
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,LTC2309xUF,
"U3, U4, U5, U6",SON50P300X200X80-13N,4,~,
